variable_code,variable_long_name,time_frequency,total_size_GB,number_of_downloads
ta100,Air Temperature,mon,3.82,77
ps,Surface Air Pressure,6hr,3.80,70
ta925,Air Temperature,mon,3.79,78
tas,Near-Surface Air Temperature,6hr,3.78,61
ta400,Air Temperature,mon,3.78,76
va700,Northward Wind,mon,3.74,64
clh,High Level Cloud Fraction,mon,3.72,53
pr,Precipitation,6hr,3.66,55
ua700,Eastward Wind,mon,3.59,63
hus200,Specific Humidity,mon,3.44,81
hus925,Specific Humidity,mon,3.31,83
tauv,Surface Downward Northward Wind Stress,mon,3.24,45
tauu,Surface Downward Eastward Wind Stress,mon,3.18,42
wa925,,3hr,3.10,2
cll,Low Level Cloud Fraction,mon,2.72,38
clice500,Ice mixing ratio,day,2.64,58
wap850,Vertical Velocity In Pressure Coordinates,mon,2.55,58
hus600,Specific Humidity,mon,2.51,68
zg700,Geopotential Height,mon,2.47,48
clfr500,Cloud fraction,day,2.42,58
mrfso,Soil Frozen Water Content,6hr,2.42,172
hus300,Specific Humidity,mon,2.31,61
hus100,Specific Humidity,mon,2.21,66
va200,Northward Wind,sem,2.19,754
mross,Subsurface runoff,day,2.16,60
mrros,Surface Runoff,6hr,2.13,248
clfr850,Cloud fraction,day,2.11,59
hus200,Specific Humidity,3hr,2.08,2
ua925,Eastward Wind,mon,2.06,44
tasminAdjust,Bias-Adjusted Daily Minimum Near-Surface Air Temperature,mon,2.06,49
ua400,Eastward Wind,mon,2.04,48
hur850,Relative humidity,3hr,1.99,1
ua200,Eastward Wind,sem,1.95,742
hur850,Relative humidity,mon,1.91,28
hur700,Relative humidity,mon,1.91,28
va400,Northward Wind,mon,1.91,38
ua300,Eastward Wind,mon,1.82,45
ua100,Eastward Wind,mon,1.80,44
clwmr850,Cloud water content,day,1.79,58
va600,Northward Wind,mon,1.76,35
u200,Zonal wind at 200hPa,day,1.76,10
ua600,Eastward Wind,mon,1.72,40
hur200,Relative humidity,mon,1.69,28
hur500,Relative humidity,mon,1.68,25
areacella,Atmosphere Grid-Cell Area,fx,1.68,523
tasmaxAdjust,Bias-Adjusted Daily Maximum Near-Surface Air Temperature,mon,1.64,39
hus400,Specific Humidity,mon,1.59,48
va925,Northward Wind,mon,1.56,33
va300,Northward Wind,mon,1.52,32
va100,Northward Wind,mon,1.46,35
wap700,Vertical Velocity In Pressure Coordinates,mon,1.43,16
wap500,Vertical Velocity In Pressure Coordinates,mon,1.41,16
hur700,Relative humidity,day,1.41,20
tauu,Surface Downward Eastward Wind Stress,6hr,1.37,22
rsdscs,Clear-Sky Surface Downwelling Shortwave Radiation,mon,1.37,25
zg200,Geopotential Height,sem,1.36,744
tauv,Surface Downward Northward Wind Stress,6hr,1.36,22
hur1000,Relative humidity,day,1.24,12
sst,sea surface temperature,mon,1.18,1110
mrros,Surface Runoff,sem,1.18,204
zg1000,Geopotential Height,6hr,1.17,2
zg925,Geopotential Height,mon,1.13,21
va975,Northward Wind,day,1.12,12
clice850,Ice mixing ratio,day,1.11,58
zg400,Geopotential Height,mon,0.94,18
zg600,Geopotential Height,mon,0.90,19
va1000,Northward Wind,day,0.88,8
va875,Northward Wind,day,0.87,8
va900,Northward Wind,day,0.87,8
va950,Northward Wind,day,0.87,8
ua1000,Eastward Wind,day,0.87,8
ua975,Eastward Wind,day,0.86,8
ua950,Eastward Wind,day,0.86,8
ua900,Eastward Wind,day,0.85,8
ua875,Eastward Wind,day,0.85,8
mrsofc,Capacity of Soil to Store Water,fx,0.84,152
hur400,Relative humidity,day,0.83,8
hur300,Relative humidity,day,0.83,8
hur600,Relative humidity,day,0.83,8
rsdscs,Clear-Sky Surface Downwelling Shortwave Radiation,day,0.82,1
hur875,Relative humidity,day,0.81,8
hus875,Specific Humidity,day,0.81,8
hur900,Relative humidity,day,0.80,8
hus900,Specific Humidity,day,0.80,8
hus950,Specific Humidity,day,0.78,8
zg1000,Geopotential Height,day,0.78,8
hur950,Relative humidity,day,0.78,8
hur925,Relative humidity,day,0.78,8
hus975,Specific Humidity,day,0.77,8
hur975,Relative humidity,day,0.76,8
hus1000,Specific Humidity,day,0.76,8
zg900,Geopotential Height,day,0.76,16
zg300,Geopotential Height,mon,0.75,16
hfss,Surface Upward Sensible Heat Flux,1hr,0.75,4
zg100,Geopotential Height,mon,0.74,16
zg975,Geopotential Height,day,0.70,8
zg950,Geopotential Height,day,0.66,8
hur925,Relative humidity,mon,0.65,11
ps,Surface Air Pressure,sem,0.64,31
zg875,Geopotential Height,day,0.63,9
ta1000,Air Temperature,day,0.60,8
ta975,Air Temperature,day,0.60,8
ta950,Air Temperature,day,0.59,8
ta900,Air Temperature,day,0.59,8
ta875,Air Temperature,day,0.59,8
snm,Surface Snow Melt,sem,0.59,741
mrfso,Soil Frozen Water Content,sem,0.57,649
zg600,Geopotential Height,day,0.55,8
clice300,Ice mixing ratio,day,0.53,8
clfr300,Cloud fraction,day,0.46,8
tasAdjust,Bias-Adjusted Near-Surface Air Temperature,mon,0.43,10
u850,Zonal wind at 850hPa,day,0.43,3
clfr925,Cloud fraction,day,0.42,8
clfr950,Cloud fraction,day,0.42,8
v200,Meridional wind at 200hPa,day,0.42,8
clwmr925,Cloud water content,day,0.42,8
clwmr950,Cloud water content,day,0.42,8
clice400,Ice mixing ratio,day,0.41,8
rsuscs,Clear-Sky Surface Upwelling Shortwave Radiation,mon,0.41,6
rsutcs,Clear-Sky TOA Outgoing Shortwave Radiation,mon,0.40,6
clfr975,Cloud fraction,day,0.39,8
clwmr975,Cloud water content,day,0.38,8
clfr400,Cloud fraction,day,0.37,8
rlutcs,Clear-Sky TOA Outgoing Longwave Radiation,mon,0.36,6
clfr900,Cloud fraction,day,0.35,8
clwmr1000,Cloud water content,day,0.35,8
clfr1000,Cloud fraction,day,0.35,8
clwmr900,Cloud water content,day,0.34,8
clfr875,Cloud fraction,day,0.29,8
prsn,Snowfall Flux,sem,0.28,25
clwmr875,Cloud water content,day,0.27,8
v500,Meridional wind at 500hPa,day,0.26,3
sftgif,Fraction of Grid Cell Covered with Glacier,fx,0.26,68
rootd,Maximum Root Depth,fx,0.25,22
clfr600,Cloud fraction,day,0.24,8
hur200,Relative humidity,3hr,0.24,3
clice600,Ice mixing ratio,day,0.23,8
prc,Convective Precipitation,sem,0.22,10
u500,Zonal wind at 500hPa,day,0.22,3
v850,Meridional wind at 850hPa,day,0.21,2
clfr700,Cloud fraction,day,0.21,8
ts,Surface Temperature,sem,0.20,10
clice700,Ice mixing ratio,day,0.19,9
clwmr500,Cloud water content,day,0.17,58
clh,High Level Cloud Fraction,6hr,0.16,3
ta200,Air Temperature,3hr,0.16,1
ta400,Air Temperature,sem,0.15,8
ta300,Air Temperature,sem,0.15,8
ta925,Air Temperature,sem,0.15,8
ta600,Air Temperature,sem,0.14,8
ta700,Air Temperature,sem,0.14,8
clice875,Ice mixing ratio,day,0.13,8
clice900,Ice mixing ratio,day,0.12,8
tasmax-bc,Daily Maximum Near-Surface Air Temperature,mon,0.10,447
clwmr700,Cloud water content,day,0.10,8
clice925,Ice mixing ratio,day,0.10,8
tasmin-bc,Daily Minimum Near-Surface Air Temperature,mon,0.09,391
clice950,Ice mixing ratio,day,0.08,8
clwmr600,Cloud water content,day,0.07,8
clm,Mid Level Cloud Fraction,6hr,0.06,1
clice975,Ice mixing ratio,day,0.05,8
ta100,Air Temperature,sem,0.05,7
cltc100,Convective Cloud Fraction,mon,0.04,1
cdnctop,Cloud Droplet Number Concentration At Cloud Top,mon,0.04,1
clice1000,Ice mixing ratio,day,0.04,8
clwmr200,Cloud water content,day,0.03,60
va1000,Northward Wind,3hr,0.01,1
va100m,Northward wind,mon,0.01,5
cape,Convective available potential energy (CAPE),mon,0.01,1
sfcWindmaxmax,Seasonal Maximum Daily Maximum Near-Surface Wind Speed,mon,0.00,1
clwmr400,Cloud water content,day,0.00,8
clwmr300,Cloud water content,day,0.00,8
apet,Accumulated Morton areal potential evapotranspiration,mon,0.00,4
mrso,Total Soil Moisture Content,1hr,0.00,4
apet,Accumulated Morton areal potential evapotranspiration,sem,0.00,1
