variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,day,Oday,10220.37,7837
prw,Water Vapor Path,day,Eday,10164.04,26568
tntscpbl,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,mon,CFmon,10095.20,7217
snw,Surface Snow Amount,day,day,9915.71,191491
huss,Near-Surface Specific Humidity,6hrPt,6hrPlevPt,9889.06,19640
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mon,Emon,9846.41,5081
conccn,Aerosol Number Concentration,mon,Emon,9729.38,4196
rsdcs,Downwelling Clear-Sky Shortwave Radiation,mon,CFmon,9618.03,8696
rsdt,TOA Incident Shortwave Radiation,mon,Amon,9587.32,1404703
hus,Specific Humidity,subhrPt,CFsubhr,9578.34,6554
o2sat,Dissolved Oxygen Concentration at Saturation,mon,Omon,9561.32,7025
siv,Y-Component of Sea-Ice Velocity,day,SIday,9513.87,50198
hur,Relative Humidity,subhrPt,CFsubhr,9509.67,6499
wa,Upward Air Velocity,mon,AERmon,9357.42,9224
siu,X-Component of Sea-Ice Velocity,day,SIday,9356.53,52445
vas,Northward Near-Surface Wind,6hr,6hrPlev,9204.28,13969
wap,Omega (=dp/dt),mon,Emon,9175.48,15755
ta,Air Temperature,subhrPt,CFsubhr,9122.10,5641
hurs,Near-Surface Relative Humidity,6hr,6hrPlev,9074.90,20084
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mon,Omon,9054.99,7801
mrsfl,Frozen Water Content of Soil Layer,day,Eday,9053.69,15214
dms,Dimethyl Sulphide (DMS) Mole Fraction,mon,AERmon,9028.91,11375
zfull,Altitude of Model Full-Levels,3hrPt,CF3hr,8942.43,2054
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mon,Omon,8900.48,7095
no2,NO2 Volume Mixing Ratio,mon,AERmon,8860.23,14197
hus,Specific Humidity,mon,Emon,8795.56,34264
zhalf,Altitude of Model Half-Levels,3hrPt,CF3hr,8781.05,1998
ppdiat,Net Primary Organic Carbon Production by Diatoms,mon,Emon,8755.06,2937
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,mon,Amon,8714.02,732643
va,Northward Wind,mon,Emon,8504.14,56859
ch4,Mole Fraction of CH4,mon,AERmon,8455.07,17513
o3prod,O3 Production Rate,mon,AERmon,8411.89,10561
cod,Cloud Optical Depth,day,AERday,8411.17,893
prw,Water Vapor Path,mon,Amon,8388.85,814026
tauu,Surface Downward Eastward Wind Stress,mon,Amon,8359.48,632352
